"path"	"category"	"bytes"	"files"	"identity"	"status"	"method"
"D:\3.VScode\Mi\V20_4_UPERF_TOP_RESUMED_ATTRIBUTION_DIAGNOSTIC.zip"	"DELETE_AFTER_KNOWLEDGE_EXTRACTION"	"932659"	"1"	"e3b0420f152c684612ffcc0655d0a0de6cbf291e7f1f0200144d49cc6ec22eae"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\V20_4_UPERF_TOP_RESUMED_TRANSITIONAL_NULL_CORRECTION.zip"	"DELETE_AFTER_KNOWLEDGE_EXTRACTION"	"709864"	"1"	"7eec187e9dc66a6c7995ec655524d9cbba992e5923cb7278b7bc4865fd0f611a"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\V20_4_UPERF_TOP_RESUMED_TRANSITIONAL_NULL_CORRECTION.zip.sha256"	"DELETE_AFTER_KNOWLEDGE_EXTRACTION"	"124"	"1"	"4092dc87cc6ed17e3105d18885e932fe4bcc2d73efe30ab2e4cc16b4aee6cd0b"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\V20_4_UPERF_READY_MARKER_DEVICE_STARTUP_RUNTIME_GATE.zip"	"DELETE_AFTER_KNOWLEDGE_EXTRACTION"	"673402"	"1"	"84b6ad2ccd12e22d84af34d2667222af1ca93e943de0da9ccbaf0d1f081a615f"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\V20_4_UPERF_READY_MARKER_DEVICE_STARTUP_RUNTIME_GATE.zip.sha256"	"DELETE_AFTER_KNOWLEDGE_EXTRACTION"	"124"	"1"	"21fb50cb4f6210a78fac4b42d2580c0c6341119cfab955d7ac40f5a9beb360a6"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\V20_4_UPERF_STARTUP_ROOT_CAUSE_AND_WORKFLOW_AUDIT.zip"	"DELETE_AFTER_KNOWLEDGE_EXTRACTION"	"604962"	"1"	"bbe6d54d7b34b352055d0248f6c26a99d8833ed33f8bb591a725c197f3ce6520"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\V20_4_UPERF_PROCESS_LIFETIME_SUPERVISOR_DEVICE_GATE.zip"	"DELETE_AFTER_KNOWLEDGE_EXTRACTION"	"507705"	"1"	"ce02f4316ab55bda83deb513cec216120ce424aa610672179cab272792f01748"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\V20_4_UPERF_REAL_OUTPUT_CONTRACT_DIAGNOSTIC.zip"	"DELETE_AFTER_KNOWLEDGE_EXTRACTION"	"396419"	"1"	"9c42a17f7ad3215919f15853107d2a7829ab7bbe965acf6a84f170e2ba6e79fb"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\V20_4_UPERF_PROCESS_LIFETIME_SUPERVISOR_CORRECTION.zip"	"DELETE_AFTER_KNOWLEDGE_EXTRACTION"	"115160"	"1"	"31234c990bbdcd7da2fd1a20f3d390baae99b37d0d0535dc651dceffadd37bfe"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\V21_PHASE1_GOLDEN_FREEZE_ENGINEERING_CLEANUP.zip"	"DELETE_AFTER_KNOWLEDGE_EXTRACTION"	"71222"	"1"	"1fb915f202ae9fd292d9457a069bdcb69fca8da9cc2092ba1218c688365cdb31"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\V21_PHASE1_GOLDEN_FREEZE_ENGINEERING_CLEANUP.zip.sha256"	"DELETE_AFTER_KNOWLEDGE_EXTRACTION"	"115"	"1"	"feeaadd7c158a2774da64a7ee535130241dbd89d85308d24648d91aeb72605db"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\WorkShell.cmd"	"DELETE_AFTER_KNOWLEDGE_EXTRACTION"	"589"	"1"	"f2b648c5483ac011d494ff9fab7952204888c6cc89c5cc4edccc60ef7f20be6b"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\apk_signatures"	"DELETE_REGENERABLE"	"38343564"	"1"	"0d707c83c07cb63fd2236a721ec3c286926180cb94937c562cd4f6d824ed8b53"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\apktool"	"DELETE_REGENERABLE"	"169128450"	"17192"	"e5e69be603341d1274e01aa9807a0486b0ebd64778a091802152801b97deb37e"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\appopt_upstream_1.6.3"	"DELETE_REGENERABLE"	"483000"	"12"	"6eff7633bebd798583350db2ffaf100355be901ee566b9be2ae9f75135e5cd29"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\asoulopt_upstream_Kanata"	"DELETE_REGENERABLE"	"52513"	"9"	"10ab64297c645d22ac91e1b7883f3eede930c191b9899b662f5e68a68708447a"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\BlackWhite.device.db"	"DELETE_REGENERABLE"	"29696"	"1"	"79d611f689594376495217a3c39ea149dd700f65b6efa30d94d505ec222b5625"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\BlackWhite.ref.db"	"DELETE_REGENERABLE"	"30720"	"1"	"4ce9455bd2f6d20bc7bab8b0c416966ac7b6d11790b7dafcdfcc5fd4f7c51ea6"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\ci"	"DELETE_REGENERABLE"	"6553697"	"24"	"aaa6c1488d382e88c1161a1f5b3464fe06302cbc21d617f82529c6f324c4fb79"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\ci_artifacts"	"DELETE_REGENERABLE"	"137814624"	"668"	"d1bf2e00c29021830e1b698dbce7b2540d5d1048326f26668291eebf4e304ceb"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\config"	"DELETE_REGENERABLE"	"5444280"	"473"	"2917c9d4133793bb66dde5a6c3a0f8bc4f02961248e59722efce1441c53ff437"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\content_probe_jar"	"DELETE_REGENERABLE"	"19676"	"1"	"6ad891bc945a22436d7013d9bcbcbe0d0c468ada86cd3f205ef78e23d083d8a3"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\content_smali_probe"	"DELETE_REGENERABLE"	"103147"	"12"	"13c1f4dce76ada7953e108c975e021b743d61bae9382ece710158a4b70fd8153"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\content-probe-classes.dex"	"DELETE_REGENERABLE"	"19676"	"1"	"b12c1181649a4da99fac1f82c25cc36dfd458da06e5e553b046b89da4be4c2b1"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\content-probe-v2.jar"	"DELETE_REGENERABLE"	"9055"	"1"	"c6cc7ab26a00c0d82b0d07b0ac742f0da9791fcd52540b5c807ae09b91e69311"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\content-probe.jar"	"DELETE_REGENERABLE"	"9083"	"1"	"d6199bd4cf6e2d0f1e7fa5b002a49680f39709cdf80f04f6dfc218e0649523cc"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\debug_ui.xml"	"DELETE_REGENERABLE"	"12223"	"1"	"467aaa246d186609a87ecc0a296c3c48b884cded1d7fe5366ab27e97df3c40af"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\device_072_validation"	"DELETE_REGENERABLE"	"194182"	"3"	"edb90e6ecd274d7b737ffc4a33f166defc4b94cb06f556b523cd848d556457f6"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\device_apks"	"DELETE_REGENERABLE"	"177957846"	"5"	"dfcf24fec202dbf78afbb79b98f0c0b9645932337ab670d6e7ad2c9e73f1222d"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\device_logs"	"DELETE_REGENERABLE"	"16385336"	"112"	"ed6cff0fa317de6b7d498b2eb1da92f86a9389e2557236118a948dc3ccd7785c"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\device_pull"	"DELETE_REGENERABLE"	"16423710"	"48"	"adf9b116460858b1c3dbbc1443bc2f53dd1a145fc8beb82520a3e3a748d0139b"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\device_readback"	"DELETE_REGENERABLE"	"0"	"5"	"328231da5c1c4d48f4c267caa33352249166f4321ed9f391d84cb3f016e02c29"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\device_v37_p2"	"DELETE_REGENERABLE"	"36822"	"2"	"d9afa16426f0f6eb96514bf8017c73c276d8ffe69778de6312e3cccbe99a1d6f"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\device_v37_ui"	"DELETE_REGENERABLE"	"7536802"	"36"	"d2874993b96b65f23158d617890de7d59d4658f141599cdb0927ac4a055c61ad"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\device_v38_release"	"DELETE_REGENERABLE"	"639559"	"5"	"b21f278d3eb0b4521907ac82c52519798f4e5cf732ed8f277b803207da898b4d"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\device_v38_ui_iter1"	"DELETE_REGENERABLE"	"83757"	"2"	"a111ba94d64675aca329d733c0824dbb26ec6ecb9e1abce6e6f651398c603719"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\device_v38_ui_iter2"	"DELETE_REGENERABLE"	"2684462"	"30"	"dfae294dd80d040df9ff8fe33334481257364a014969c72e58d57fc734d2eba3"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\device_v39_release"	"DELETE_REGENERABLE"	"500836"	"7"	"987f7282a588a8681d9d8db50ed78eb23ec43afdca666b01e15106f8d82e8b32"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\device_v39_ui_iter1"	"DELETE_REGENERABLE"	"100190"	"1"	"e7bbdceb77a655342a598710326f051496910a51fd18fb1cdca02f6ae07f4d9b"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\device_v39_ui_iter2"	"DELETE_REGENERABLE"	"5201731"	"37"	"9c2bf2dfc5f6163a06f941b9ef5e37964c25a21377f91bb13f5b2a89f26c054b"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\device_verify_20260619_000657"	"DELETE_REGENERABLE"	"37058"	"2"	"d80f7c0bc4caf019f1096d9a668c7d4480eaa444f4e2ee9572bb5512898e19d5"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\device_xml_check"	"DELETE_REGENERABLE"	"47007"	"5"	"80ccbbf8368ba6002515cbefe33776076a7e199103cec72857ac7936b3e0fab8"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\device_ZuiperfCtl.apk"	"DELETE_REGENERABLE"	"2153282"	"1"	"1c7ad845482bf0ac756919e0ced2dfa005f9cccfc3aac7f769bbc0f3e78662eb"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\device_zuipp_db_20260606"	"DELETE_REGENERABLE"	"102400"	"7"	"e347c7e9cd46ce70a917feaf6aee66011e97b924c95edae1042ad84e99ddaea3"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\geekflash_help.stderr.txt"	"DELETE_REGENERABLE"	"0"	"1"	"bf911fa9df0258d3d40cd3b875bddb81a3bf58ce9db1cc4203e37f0ba7c40c1a"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\geekflash_help.stdout.txt"	"DELETE_REGENERABLE"	"0"	"1"	"587f334073c176b148029fb47cbed5bd3309b0ce1db565136bed4055f862295d"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\official"	"DELETE_REGENERABLE"	"0"	"0"	"e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\oneoff_init_gate_20260831170720_1"	"DELETE_REGENERABLE"	"6955937"	"197"	"2f485bdbd0a99123b306587b3a29e743b8bfaedd88ba0372d470ef5fc23560df"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\p2_mingchao_fix_20260624"	"DELETE_REGENERABLE"	"82906"	"10"	"84692f21ae203f9f8c24ae2394dc5d1ece272291d4e8c1183dded16cebbec271"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\p2_mingchao_probe_20260624"	"DELETE_REGENERABLE"	"41880"	"3"	"2b7bce38402d54036703d461a356f7db2e4da8b4b7820aacc917f329dec84c33"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\p2g_eval_zui_pp_decoded"	"DELETE_REGENERABLE"	"3934683"	"596"	"53325211a848664e78555e4e706a6485ed7cc10aa625ec8d44c2d8196f7931cd"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\prep.xml"	"DELETE_REGENERABLE"	"12223"	"1"	"e265834bd082e555564d27c794dc8fc65dd0f2a96fab54665c82fd5d7318d02e"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\prep2.xml"	"DELETE_REGENERABLE"	"12223"	"1"	"8d9a61d4134eb552a915d1f4bbf465b0c5138894044848b47c4cf1fa4f8a5416"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\prep3.xml"	"DELETE_REGENERABLE"	"11615"	"1"	"fcafb6dc38efe7e83ebd7641ead59f0c12832c708df203082f036c355748eadc"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\prep4.xml"	"DELETE_REGENERABLE"	"11615"	"1"	"c16001bc73b2152de27aface8838ec9969593fd518358b24f7ab653116d28f8a"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\qdlrs"	"DELETE_REGENERABLE"	"217476"	"56"	"b5b10e0c66d67387a45d96206f0c1101e1f4e6709df90790615c4fca282c40da"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\recovery_tools"	"DELETE_REGENERABLE"	"119458205"	"3317"	"079bb4f76f27821592fd2a2b8a170c4fdafaa8ade7d3180b8cee9b7e44e0c190"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\removed_for_space"	"DELETE_REGENERABLE"	"7555522"	"1"	"8e7b78e797ceaa3c5a195d341610612c35d1c086d57848b81cdc6a3898b6902d"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\safecenter"	"DELETE_REGENERABLE"	"60416"	"2"	"2df8371c6c67582df6a678a1d6840b7390feff62387394432568720a410e6056"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\safecenter_raw"	"DELETE_REGENERABLE"	"126110"	"2"	"983332e4e3654d09cd180d1e052736df16c018e7f4ca5e9c1c9bd0a1da57e3cf"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\scene_runtime_test"	"DELETE_REGENERABLE"	"40971413"	"18"	"a9847ebcc80b76054551550bed04d1a9ca43176774bb0efe833964efe5686b4d"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\signature_check"	"DELETE_REGENERABLE"	"147915927"	"6"	"504d515ab87d27f0fa67701f864fd87f24a79169af4a064319ccf02cabaadc50"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\testkey_rsa2048_extracted_pub.bin"	"DELETE_REGENERABLE"	"520"	"1"	"f39307f55cc67444181b439596ddddcd0124a6f5f9dea07dd0cdf4f05180ffa1"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\testkey_rsa4096_extracted_pub.bin"	"DELETE_REGENERABLE"	"1032"	"1"	"2ec1f3271c3ea226d5327691a24ac086aca9bc12a1953a9dce62c2ef3f8558f0"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\third_party_audit"	"DELETE_REGENERABLE"	"37829144"	"1297"	"b4071cc7af47ce3ad46cae582e141926bab3addb1a1ffc01f855165c2925afdd"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\tmp"	"DELETE_REGENERABLE"	"0"	"0"	"e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\tmp_chunqiu"	"DELETE_REGENERABLE"	"25631012"	"4"	"5f9a504a3fd73c4a985474918a4f8e21d51b3ecd55aa0860f550458b52609abf"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\tmp_device_apk_check"	"DELETE_REGENERABLE"	"2270774"	"1"	"32706113c5a90f6f9e1e70c878197366e5f11140b4497530401092c7035a9459"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\tmp_scene"	"DELETE_REGENERABLE"	"23012"	"5"	"ee21b9c8001fce05b5fbd1ffb6394bc3337576c60de8bfe32b97cf2ab23cf5e3"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\tmp_tassistent"	"DELETE_REGENERABLE"	"49365048"	"5734"	"561a47bfe83547535cfc779a6c18399f61d2d818a1ecec66a15b58f3c5b0f053"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\tmp_zui_perf"	"DELETE_REGENERABLE"	"89406614"	"15"	"4ab406c146a145013e16b57991b8cfeaefd2757d7c714e5615119b4f5a73d7cc"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\u.xml"	"DELETE_REGENERABLE"	"7791"	"1"	"2c50249be4c8f53194fba46398ecbe26e01bc8d96546ac38463884f289e51a14"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\u2.xml"	"DELETE_REGENERABLE"	"12223"	"1"	"96ff395fc24072b3a7cb72ea8c03d8647ed3c3e55eda07d46231e709eb9192be"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\uperf_import_py38_probe"	"DELETE_REGENERABLE"	"0"	"0"	"e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\uperf_source_49c7f877"	"DELETE_REGENERABLE"	"6758762"	"69"	"0c2edae45a49ede1a1dff02c4ffa8d4fd3d836bc0239faeebc100ab1067adf95"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\uperf_upstream_1.0.6_00b19294"	"DELETE_REGENERABLE"	"11016600"	"53"	"2396d95130ec3e1da9981e2c45850c027b9004df660b98462dff53329b057656"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v20_2_matrix_path.txt"	"DELETE_REGENERABLE"	"80"	"1"	"55e2e14851a2349921dcbb90bcfd7241c640055cbb693bf8a786325c6fdc28ae"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v20_2_startup_gate_path.txt"	"DELETE_REGENERABLE"	"79"	"1"	"ac6a033d5cedbbb83c7c02fb92ab6904452fb3df58b928dc555b164fa52b1bb0"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v20_3a_app_smali_probe_20260830_231300"	"DELETE_REGENERABLE"	"16292186"	"1207"	"553cc29e0687ec4c80c0f149bd228071ac113300e72cdf55b44653e7ebe5ed06"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v20_3a_app_smali_probe_20260830_231500"	"DELETE_REGENERABLE"	"16349077"	"1211"	"7681eca34abe02fc80ffcac49a8bacd061e28ed2a52dc649b73d2d3a510e08b8"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v20_3a_baseline_compare"	"DELETE_REGENERABLE"	"9663712"	"2488"	"14cf958ccaf596cf23a621136b93874e0bbd370dc5900c8f454f9cec9cf89808"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v20_3a_baseline_validate"	"DELETE_REGENERABLE"	"9752695"	"2480"	"f2836ec8dcbb977da386ccfe0bc9b82424f7b082856f6806f5b1f110f41e1531"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v20_3a_checkout_probe_20260830111700"	"DELETE_REGENERABLE"	"9624897"	"2459"	"d486ddb6066208976c69bf02cc79c347e492ba393b7f4842cd485243f2c15245"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v20_3a_smali_probe_20260830_231100"	"DELETE_REGENERABLE"	"199222"	"12"	"d52b5647e54c7ff9b08031f3fe2cd007a9d1aa0301822814214caa6beecf72db"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v20_3a_smali_probe_20260830_231100.apk"	"DELETE_REGENERABLE"	"17925"	"1"	"5ebb7bd20677383b41df55231cf42765e04f2351ff411a0c13042ea06a4780f2"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v20_3a_smali_probe_input_20260830_231100"	"DELETE_REGENERABLE"	"33624"	"1"	"ebdfe421acc121110e9712ec5dbb3a71aabc7922dea1af1acd397e5ec96b72ed"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v20_4_build_20260831134222.log"	"DELETE_REGENERABLE"	"146"	"1"	"4674b39ba002c5c6daf90fcea629c0f2bea2703580f22ed10bf0476ad66c8052"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v20_4_build_20260831134511.log"	"DELETE_REGENERABLE"	"1070037"	"1"	"fd04bc14e84377f9ca8ed91eecfe1f13aa46388dac9eadc1d6106af37b0c1af1"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v20_4_device_validation_20260831114341"	"DELETE_REGENERABLE"	"392962247"	"15419"	"204e8e077b5b7eadb52f414d81beb35f0324e17bd9f871375475c6aa8316a853"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v20_4_final_gate_20260903153438"	"DELETE_REGENERABLE"	"23523221"	"138"	"e142b766eb98e270c776c4295fa1336f59ea6ae69aa9878dd279a524cf833525"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v20_4_refresh_device_results_20260831_1530"	"DELETE_REGENERABLE"	"45200984"	"547"	"8f92136f4e6803763f69b1b873040259fa5be0ceca3307fbac903650114724f5"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\V20_4_REFRESH_DEVICE_RESULTS.rar"	"DELETE_REGENERABLE"	"21420306"	"1"	"d7de13f351aba880ecba693f857b0adc5a95e036b3423f002a42be85b23fd36d"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\V20_4_REFRESH_DEVICE_RESULTS.rar.sha256"	"DELETE_REGENERABLE"	"99"	"1"	"f057b476358f09edeee6bc391c03c863e97c2de0ef44ca4a7e08778ae60d19a6"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v20_4_runtime_host_compile"	"DELETE_REGENERABLE"	"197428"	"45"	"1819124329a0268d053f1d855e771c701ef6e4e9d130fdf0d6d18edcf626fbfa"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v20_4_runtime_host_compile_146e096"	"DELETE_REGENERABLE"	"194098"	"31"	"e87600d3d458ef5f11a87b7309b1a593fe3630b671b3778fbb2f72dde2f999d9"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v20_4_runtime_host_compile2"	"DELETE_REGENERABLE"	"197428"	"45"	"6114258f74cc966e56d494c774dbd11d50b489a48dba9fe50e7bedb74a8271eb"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v20_4_uperf_ready_marker_gate_package_20260902150110"	"DELETE_REGENERABLE"	"9266295"	"59"	"7d9d16b315384f4528ae6ddc46b29fa365eff24180d937d8cdcdd6cd16522177"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v20_4_uperf_real_output_contract_diagnostic_20260903085341"	"DELETE_REGENERABLE"	"8341127"	"72"	"fdd63fbd33ce9404e506d47bace10fb554688c227201c8c766ddddf980911cc7"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v20_4_uperf_regular_log_device_gate_20260903110608"	"DELETE_REGENERABLE"	"25430006"	"105"	"b2311ab4f694967002855c35b9e6cc7ecd29e9659395c5c3cbf2ed6c49086f9c"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\work\v20_4_uperf_supervisor_candidate_20260903065226"	"DELETE_REGENERABLE"	"105233035"	"6"	"2f35b9f0708f2d84e276d4248a287dd2ea8b98e167cdc2fefbb08c108f84189d"	"REMOVED"	"exact-plan cleanup script"
